data_fold,paradigm,window,model,method,subject,fold,percentage_removed,MoRF_score_mean,MoRF_score_std,LeRF_score_mean,LeRF_score_std,ROAD_score_gap_mean,ROAD_score_gap_std,n_samples
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,0.0,0.9556388470423208,0.10257862450086619,0.9556388470423208,0.10257862450086619,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,1.0,0.9437350281227583,0.1372056637681842,0.463519005764055,0.42072038237707277,-0.4802160223587033,0.4389107459161469,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,2.0,0.9305937286227309,0.16938472241266014,0.463519005764055,0.42072038237707277,-0.46707472285867596,0.4436328389756754,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,5.0,0.8963054955786075,0.2296529174540713,0.46351790280121774,0.4207190071595364,-0.4327875927773897,0.45536430623769747,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,10.0,0.8570132004661604,0.275452261516297,0.4634574246580747,0.420639925550472,-0.3935557758080856,0.46900986541433676,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,20.0,0.7851940729526555,0.3294432285135654,0.4635904328701638,0.4206444394597339,-0.3216036400824917,0.49247085549575076,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,30.0,0.6936976407488599,0.37311329017638456,0.46383304429920846,0.42056850889896663,-0.22986459644965143,0.5169939850215417,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,50.0,0.5342926282592788,0.4138654048695759,0.4017117692463047,0.42237801906226,-0.13258085901297417,0.5209903713281485,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,70.0,0.7621484484161236,0.384432248404583,0.3884147549281418,0.43255122434507726,-0.3737336934879818,0.7187113170795871,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,90.0,0.7698115723923662,0.382103198775565,0.38845914936138987,0.4505938552690381,-0.38135242303097633,0.7343000170259755,1722
4.0,TDAH,TDAH,tgarnet,GradCAM++,,5,100.0,0.7678372643922611,0.383604342924555,0.7678372643922611,0.383604342924555,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,0.0,0.9556388470423208,0.10257862450086619,0.9556388470423208,0.10257862450086619,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,1.0,0.8191165792919115,0.29575394720361403,0.9913305056981232,0.02979817277141328,0.17221392640621164,0.2793590185523559,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,2.0,0.6868961802977175,0.37347844738826774,0.9969964610644195,0.014801886331065457,0.31010028076670204,0.3688866561725513,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,5.0,0.3666794056254686,0.38943670705647404,0.9995321654276565,0.0035997079267112283,0.6328527598021879,0.3890284738795778,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,10.0,0.16346900216155325,0.3026999954632772,0.9998621800427653,0.0011973321529249144,0.8363931778812119,0.30263945343647647,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,20.0,0.0740363829950444,0.20469454895001887,0.9998411508525844,0.0014691948380441094,0.9258047678575401,0.20497944768402304,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,30.0,0.040862097659113285,0.14778991796758212,0.9996133990127174,0.0041129270840121095,0.9587513013536041,0.14852846055504426,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,50.0,0.004990382079786759,0.04154364809012997,0.999750903432239,0.0037615893633037864,0.9947605213524524,0.04172278092005923,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,70.0,0.0011812216152299092,0.02921479788845639,0.9999760467554772,0.00039247736677912407,0.9987948251402473,0.02921652101671044,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,90.0,0.0018845684190015196,0.03845942017502825,0.9998226938001231,0.006642313082146021,0.9979381253811216,0.03902099986487628,1722
4.0,TDAH,TDAH,tgarnet,IntegratedGradients,,5,100.0,0.7678372643922611,0.383604342924555,0.7678372643922611,0.383604342924555,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,0.0,0.9556388470423208,0.10257862450086619,0.9556388470423208,0.10257862450086619,0.0,0.0,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,1.0,0.6843370318199962,0.339992097323847,0.6575196613594143,0.3451917822144368,-0.026817370460581785,0.29354413143747426,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,2.0,0.6843370318199962,0.339992097323847,0.6575196613594143,0.3451917822144368,-0.026817370460581785,0.29354413143747426,1722
4.0,TDAH,TDAH,tgarnet,KernelSHAP,,5,5.0,0.6843370318199962,0.339992097323847,0.6575196613594143,0.3451917822144368,-0.026817370460581785,0.29354413143747426,1722
