paradigm,window,subject,fold,model,method,label_source,sample_idx,class_idx,runtime_seconds,hardware,score_type,n_samples_timed,partition_id,n_partitions,method_params
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,0,0,10.882644961000096,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,1,0,10.379636188999939,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,3,0,9.751356762000114,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,7,1,10.169122859000026,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,9,0,10.90734931299994,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,11,0,9.896793280999873,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,12,0,10.699175209000032,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,14,1,10.525882665000154,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,17,0,11.040046186000154,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,18,0,9.64134342300008,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,19,0,10.913826679000067,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,23,1,10.957771197000056,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,24,1,10.786006188000101,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,27,1,9.84763126100006,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,29,1,10.426155548999986,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,30,1,10.865328515999863,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,32,1,10.412581631999956,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,35,0,10.460826730999997,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,38,1,10.3546648250001,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,KernelSHAP,y_test,39,1,10.908212398999922,NVIDIA T4 GPU,logits,20,,,"{'background_size': 8, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,0,0,2.610752313000148,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,1,0,2.449080718999994,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
MI,2.5-5,43,1,tgarnet,LIME,y_test,3,0,2.4601048429999537,NVIDIA T4 GPU,probabilities,20,,,"{'background_size': 30, 'num_features': 200, 'num_samples': 1000, 'predict_batch_size': 512, 'random_state': 42}"
